,comments
0,好好哭
1,武汉加油
2,医村nb
3,哪有什么岁月静好，只有人为你负重前行
4,三连借素材
5,浙江食饼筒给热干面加油
6,太难过了
7,鲁A为鄂A加油
8,泪目
9,无锡小笼包为热干面高兴
10,中国加油
11,！！！！！
12,武汉加油
13,武汉加油
14,加油加油武汉一定会赢
15,镇江恒顺醋为武汉热干面加油！
16,辣条为热干面加油
17,在中南医院这陪同学看病通宵过哈哈哈哈
18,中和轩蒸饺为热干面加油
19,腌肉面为热干面加油
20,炒饼丝为热干面加油
21,浙G为鄂A加油
22,煎饼果子为热干面加油
23,天津煎饼果子为武汉加油
24,我在马来西亚，武汉加油
25,感谢字幕君 辛苦了！
26,武汉加油！！！
27,2020年底重回首，感觉那段日子很迷幻啊。。。。。。
28,10月份的我，告诉你们，马上就会好的，加油
29,广东白切鸡为热干面加油
30,我在河北邯郸，为武汉加油
31,山东大葱为热干面加油哈哈
32,郴州鱼粉为武汉热干面加油
33,平凡而伟大
34,2020年9月20日
35,兄弟走了
36,朋友 走了
37,武汉加油，中国加油！
38,福建木耳为热干面加油！！
39,谢谢字幕君
40,广西老友粉为武汉热干面加油！
41,这次肯定
42,闽J为鄂A加油
43,福建芋饺为武汉热干面加油
44,鄂M为自己加油
45,辛苦了
46,BJM梦灯笼
47,广东客家娘豆腐为武汉热干面加油
48,甘肃文县米皮为武汉热干面加油！！！！
49,陕A为鄂A
50,武汉加油
51,武汉做到了
52,苏F
53,加油啊
54,鄂K的小伙伴在哪儿里
55,广西老友粉给热干面加油！
56,安徽阜阳为湖北武汉加油
57,太河板面为武汉热干面加油
58,阜阳格拉条为武汉热干面加油
59,界首吕长明牛肉为武汉热干面加油
60,小鸡炖蘑菇为热干面加油！
61,武汉加油！！！
62,广西螺蛳粉为武汉热干面加油
63,徐州地锅鸡给武汉热干面加油
64,真的忍不住泪目
65,在古代过年时节放鞭硫磺就是杀菌消毒的作用
66,援鄂医疗队马上就位
67,三文鱼时代考古，北京加油
68,6.17日 10:43
69,灵宝烧饼夹肉为武汉加油！
70,武汉加油
71,饣汤为武汉加油。
72,武汉加油
73,泪目
74,中考一模为武汉加油
75,中考一模加油
76,加油
77,蟹黄灌汤包给热干面加油！
78,浙C给鄂A 加油
79,武汉加油
80,爱了爱了
81,声音也太好听了吧
82,江西南昌炒粉为热干面加油
83,黑P给鄂A加油!
84,粤H为鄂A加油
85,中国挺过来了！
86,广西贺州为武汉加油
87,我
88,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加加油加油加油加油加油
89,武汉加油！中国加油！
90,好兄弟走好
91,5.22 中国抗疫基本获得胜利 武汉早已解葑 世界加油 ! 令人厌恶的美国加油！
92,淮扬菜为武汉加油
93,陕西biangbiang面为热干面加油
94,现在疫情结束了再看这个
95,冀B为武汉加油
96,黄山烧饼为武汉加油
97,山东煎饼为武汉热干面加油
98,山东大葱卷饼为武汉加油
99,加油
100,哈哈哈哈呼呼呼呼
101,我在重庆 武汉加油！！
102,政和白茶为武汉加油！
103,河北邢台
104,威县火烧为武汉加油，为中国加油。
105,武汉加油
106,北京驴打滚给武汉加油
107,致敬伟大的人民
108,煎饼卷大葱为热干面加油!
109,广东烧鹅为武汉热干面加油！
110,豫D为武汉加油
111,。。
112,这是江还是湖
113,永远不会忘记这个吉他大地
114,嘀嘀嘀嘀嘀嘀嘀嘀嘀嘀嘀嘀嘀嘀嘀
115,窦A为武汉加油
116,水高在读！！！高三学生来了！！！！
117,小姐姐哭了，好心疼⊙﹏⊙
118,陕西羊肉泡馍为武汉加油(ง ˙o˙)
119,哭了
120,武汉清零考古
121,武汉加油
122,鲁F给武汉加油！
123,龙口粉丝为武汉热干面加油！
124,襄阳牛肉面为武汉加油
125,桂G为鄂A加油
126,坡尾炒粉为武汉加油
127,谢谢你们！！！！！！
128,鲁B为鄂A加油
129,加油
130,天津煎饼果子为武汉加油
131,祝英雄们一生平安
132,马   国   强，S H I T
133,                SHIT！                         
134,        强，                      
135,马                                       
136,马
137,粤H给武汉加油！
138,武汉加油
139,太赞啦！
140,武汉加油
141,广西北海给武汉加油！！
142,武汉解封时代的人来考古啦
143,安徽小鸡贴膜为武汉加油！
144,湖南血鸭为武汉热干面加油！
145,哭了，感谢白衣天使
146,北京炸酱面为武汉加油
147,奥利给为热干面加油
148,4月22日回来啦，春天来了!要结束了!
149,lcnms
150,lcnms
151,中国加油，武汉加油！！！！！！
152,兰州牛肉面为武汉加油！
153,我从四月份过来，现在情况已经好多了，武汉加油！
154,广西贵港给武汉加油
155,666666
156,现在我们已经挺过难关了!
157,四川担担面为热干面加油！
158,重庆火锅为武汉加油！
159,重庆人民为武汉加重庆火锅为武汉加油！！
160,沧州火锅鸡为武汉热干面加油
161,你的名字
162,4. 17 23:20
163,东北烤冷面为热干面加油
164,武汉人民你们太厉害了，谢谢你们
165,向一线人员致敬
166,海南为武汉加油
167,嘉兴粽子为武汉热干面加油
168,河南胡辣汤为武汉加油！
169,武漢話務
170,结束啦 重启啦
171,人民万岁
172,鱼丸为热干面加油！
173,粤X为武汉加油
174,泪目
175,类目
176,绵阳米粉！老乡！
177,再看还是哭了 武汉人觉得恍如隔世一样 至暗时刻过去了
178,好美
179,广西钦州为武汉加油
180,电白鸭粥为热干面加油
181,我来自4.8 武汉解封
182,西藏为武汉加油！
183,谁tm都不准有事！！！
184,武汉武汉加油武汉加油
185,武汉加油武汉加油武汉加油武汉加油
186,武汉加油武汉加油武汉加油
187,广东肠粉给武汉热干面加油！！
188,广东肠粉给武面加汉热干油！！
189,煎饼卷大葱为热干面加油！
190,螺蛳粉为热干面加油
191,宾阳酸粉为武汉热干面加油
192,皖L为武汉加油
193,安徽为武汉加油
194,羊肉汤为武汉加油
195,武汉加油
196,闽f为鄂a加油
197,看到人性的光辉
198,福建三明的人，加油！
199,大疆御Air
200,这个是MavicAir，有前后避障
201,姿态模式，危
202,2020年4月15来的，这次疫情我们终于度过最难熬的时期了
203,武汉加油
204,河南胡辣汤给武汉加油
205,中国人真的很厉害
206,山东煎饼卷大葱为武汉加油
207,我们成功了
208,一定
209,bgm？
210,看哭了
211,加油啊
212,好难过 加油啊
213,哈哈哈哈哈哈哈哈
214,火锅给热干面加油
215,热干面加油
216,武汉加油
217,锅包肉为热干面加油
218,作文满分！
219,这个拍的好！
220,武汉是英雄的城市
221, 酸菜排骨为武汉加油
222,加油加油
223,武汉加油
224,加油
225,粤J为鄂A加油
226,武汉加油
227,武汉加油武汉加油
228,广东白切鸡为武汉加油
229,七彩丹霞为武汉加油！
230,我的生日
231,方方你看到了吗？这才是武汉和中国
232,武汉加油
233,晋k为武汉加油
234,石家庄缸炉烧饼为热干面加油
235,4.13 考古。现在武汉早已复苏
236,东方亮小米为热干面加油！
237,甘H为鄂A加油！！！！！！！
238,五色糯米饭来了
239,苏E为武汉加油
240,毕节脆绍面为热干面加油
241,林晨加油
242,武汉加油！
243,这次一定
244,这次一定
245,浙c给武汉加油
246,泪目
247,武汉加油
248,武汉已经解封啦～
249,三连
250,太辛苦了
251,哭了
252,南昌拌粉给武汉热干面吧加油
253,加油
254,曝光一下 方方日记
255,黄昏之时我头皮发麻
256,粤B为鄂A加油
257,泪目
258,江西米粉为武汉加油
259,岂曰无衣与子同袍。
260,武汉解封时代来临
261,河南郑州烩面给武汉加油了，快好起来
262,神仙up
263,豫C为鄂A加油！！！
264,豫
265,河南胡辣汤为武汉加油
266,泪目
267,山东煎饼为武汉加油
268,重庆酸辣粉为武汉热干面加油
269,bgm：没什么大不了钢琴版
270,广西螺蛳粉给武汉热干面加油！
271,武汉加油！！
272,终于挺过来了
273,三连三连
274,想吃热干面4.8
275,鲁A为鄂A加油
276,广西钦州海鸭蛋为热干面加油
277,担担面为热干面加油
278,我在湖南，武汉加油！
279,湘E给颚A加油！！！
280,湘E为颚A加油
281,湖南臭豆腐给武汉热干面加油！！！
282,河南烩面给热干面加油
283,江西瓦罐汤为武汉加油
284,清明节   为这次疫情而离开的所有英雄们默哀    武汉加油  中国加油
285,莆田卤面为武汉热干面加油！
286,四月四日，致敬为武汉付出的医生们！！
287,六安瓜片为热干面加油！
288,泪目，感谢这些人
289,辣椒炒肉为武汉热干面加油
290,重庆火锅为热干面加油！
291,广州早茶为武汉加油，奥利给
292,成都串串为武汉加油！
293,加油
294,别哭，一定会好起来的……
295,汉中热面皮为热干面加油！
296,浙江汤圆为武汉加油！
297,广东煲仔饭为武汉热干面加油
298,武汉加油！！！
299,晋F为鄂A加油
300,武汉加油
301,武汉加油，中国加油！
302,武汉加油！
303,德化过饥草汤为武汉热干面加油！
304,4月3号的我来看望你们 不用怕马上就好了
305,武汉加油！！！
306,加油!
307,天津人来晚了，武汉加油
308,天津人来晚了
309,好感动
310,闽C为武汉加油
311,太伟大了
312,肠粉为热干面加油
313,广东虾饺为热干面加油
314,钉钉时期前来考古
315,你的名字里的BGM黄昏之时，和三叶的主题曲相似，但绝不是梦灯笼
316,广西老友粉为武汉加油
317,湘N为武汉加油！！
318,我是从up的第一个视频跟过来的，感谢医护人员感谢所有人也感谢up主
319,辽宁锅包肉为武汉加油
320,山西刀削面来了
321,拉面为武汉加油
322,空桑少主为武汉加油！
323,沈阳为武汉加油！！
324,加油！
325,赣B为鄂A加油
326,对，是湖北加油
327,辽F为鄂A加油
328,武汉加油
329,贵H为鄂A加油
330,凯里酸汤为武汉加油
331,广西螺蛳粉为武汉热干面加油！！
332,黄昏之时！
333,广东肠粉为热干面加油
334,武汉加油
335,燃面给武汉加油
336,苏F为鄂A加油
337,胡辣汤给热干面加油！
338,胡辣汤给热干面加油！
339,武汉你加油
340,贵A发来祝福
341,贵州丝娃娃为热干面加油
342,前方高能预警
343,山东煎饼卷大葱为武汉加油
344,冀A为武汉加油
345,甏肉干饭为武汉热干面加油！！！
346,武汉长江二桥
347,BGM三叶
348,武汉要解封了
349,好多人啊
350,加油！
351,武汉加油
352,加油
353,豫s
354,河北lrhs给热干面加油
355,廊坊小心机给武汉
356,给我看饿了
357,弹幕把我看饿了。。
358,武汉加油
359,东北锅包肉为热干面加油
360,"加油"
361,糟糕的配音
362,云南神奇菌子为武汉加油
363,烩面为武汉加油
364,肠粉为武汉加油
365,砂锅粥为武汉加油
366,志愿者就像机器小螺丝钉，虽然很小但凝结成巨大的能量
367,陕西biangbiang面为热干面加油
368,3.20回来再看一次，恍如隔世！
369,广西螺蛳粉为武汉加油！
370,老友粉为热干面加油！
371,螺蛳粉老友粉为热干面加油！
372,螺蛳粉老友粉为热干面加油！
373,武汉加油
374,小面前来报道！
375,全国一卷为武汉热干面加油!！
376,老友粉为热干面加油！
377,山粉圆子为热干面加油
378,辛苦了 大家们
379,武汉今天清0了 家乡孝感也已恢复 过来回顾
380,京
381,南昌瓦罐汤为热干面加油
382,我以为我再看不会哭的。。2020.03.18
383,中国加油！武汉加油！
384,兰州牛肉面给热干面加油
385,兰州牛肉面给热干面加油
386,兰州牛肉面给热干面加油
387,成都为武汉加油！
388,武汉加油啊！！！！！！！
389,武汉加油中国加油
390,趴鸭为武汉热干面加油
391,中国人总是被他们之中最勇敢的人保护得很好。——基辛格
392,福建泉州海蛎煎为武汉加油
393,车多的是up主原来拍的
394,快好啦！
395,武汉加油
396,赣州艾米果为热干面加油
397,百色五彩糯米饭为武汉加油！
398,长沙臭豆腐为武汉热干面加油
399,四川火锅为热干面加油
400,武汉加油
401,合肥给武汉加油
402,皖A为鄂A加油
403,大扁糖为武汉加油！武汉加油！湖北加油！中国加油！
404,武汉加油！！！！
405,洋口炒粉给热干面加油
406,广西桂林米粉为武汉加油
407,加油
408,武汉加油武汉加油武汉加油武汉加油武汉
409,武汉加油武汉加油武汉加油武汉加油武汉加油
410,武汉加油武汉加油武汉加油武汉加油武汉加油
411,武汉加油武汉加油武汉加油武汉加油武汉加油
412,武汉加油武汉加油武汉加油武汉加油武汉加油
413,武汉加油武汉加油武汉加油武汉加油武汉加油
414,武汉加油武汉加油武汉加油武汉加油武汉
415,武汉加油武汉加油武汉加油武汉加油武汉
416,武汉加油武汉加油武汉加油武汉加油
417,武汉加油武汉加油武汉加油武汉加油武汉加
418,武汉加油武汉加油武汉加油武汉加油武汉
419,武汉加油武汉加油武汉加油武汉加油武汉加油
420,武汉加油武汉加油武汉加油武汉加油武汉加油
421,武汉加油武汉加油武汉加油武汉加油武汉加油
422,烤冷面为热干面加油
423,长春为武汉加油
424,武汉加油
425,3.13考古.我们这发了最后一批物资.第一批过去的医疗队也集体交班.原地休息待命了！一切都会好起来！
426,鲁V为鄂A加油！！！
427,博白凉拌粉为武汉热干面加油博白凉拌粉为武汉热干面加油
428,博白凉拌粉为武汉热干面加油
429,英雄城市给我冲！！！！一切都快挺过来了
430,今天2020.3.13快要天亮了一切都挺过来了
431,3.13考古，要天亮了，加油！
432,今天是2020.3.13，全国除湖北外基本清零，武汉也之后个位数了吧，再坚持一下！
433,博白凉拌粉为武汉热干面加油
434,广西玉林给武汉加油
435,BGM：梦灯笼
436,桂K给鄂A加油
437,博白凉拌粉为武汉热干面加油
438,玉
439,玉林牛巴为热干面加油
440,玉林牛巴为武汉热干面加油
441,这次一定
442,吉林热面为武汉加油
443,眉山东坡肘子为热干面加油
444,重庆火锅和小面为武汉加油!
445,丝娃娃给热干面加油！
446,武汉加油
447,辽H为武汉加油
448,武汉加油
449,武汉加油
450,武汉加油
451,高州薯包籺为武汉热干面加油！
452,高州薯包籺为武汉热干面加油
453,中国加油
454,雾霾太严重了
455,武汉的老佛爷(ccy)，你还好吗？
456,无锡小笼包为热干面加油
457,武汉加油
458,赣D为武汉加油
459,鲁H为鄂A加油
460,中国加油
461,武汉加油
462,开头好泪目
463,武汉加油啊
464,湘E给鄂A加油
465,沙县小吃为武汉加油
466,南宁老友粉为武汉加油
467,感谢阿婆
468,鄂F在浙A为鄂A加油
469,桂A为武汉加油
470,逍遥胡辣汤为武汉加油
471,山东煎饼为热干面加油
472,滕州菜煎饼、羊肉汤、大肉手擀面、辣子鸡……
473,这事儿我也干过
474,保定驴肉火烧为武汉加油
475,山东煎饼果子为武汉热干面加油！
476,广西南宁给武汉加油！！！
477,广西南宁给武汉加油！！
478,河南烩面为武汉热干面加油
479,东坡肉为武汉热干面加油
480,葱包桧为武汉热干面加油
481,扬州炒饭为武汉加油
